"source";"target";"Weight"
1056;2657;3
1056;2883;3
1056;7280;3
1056;15559;3
1056;17190;3
1056;40239;4
1060;5090;3
1060;8092;4
1060;14017;3
1060;14092;3
1060;19035;3
1060;25556;3
1061;887;3
1061;925;4
1061;1180;3
1061;43460;6
1061;55083;3
1062;2987;3
1067;1066;3
1067;1069;3
1067;1421;4
1067;3846;3
1067;5311;4
1067;15634;3
1067;25743;3
1067;28586;3
1067;32193;3
1067;97529;4
1067;192299;3
1067;600615;3
1068;1066;3
1068;3846;5
1068;12197;3
1068;104906;3
1070;1066;3
1070;2035;3
1070;3438;3
1070;3688;3
1070;3846;3
1077;561;3
1077;1078;3
1077;1079;9
1077;1167;7
1077;1305;3
1077;1565;3
1077;3248;3
1077;3556;4
1077;4318;6
1077;5197;8
1077;19117;3
1077;102959;3
1079;1078;3
1079;1421;3
1079;1422;7
1079;5197;4
1079;10297;3
1079;15741;4
1079;17585;3
1079;18484;3
1079;25743;4
1079;35241;3
1079;36517;4
1079;46914;4
1085;133;3
1087;3439;3
1087;3628;4
1087;6810;3
1087;10297;3
1087;11734;3
1087;14017;4
1087;15306;5
1087;15495;5
1087;19061;3
1087;21971;3
1087;23663;3
1087;24378;3
1087;25191;3
1087;80236;8
1091;237;3
1091;4633;3
1091;38330;3
1096;1651;3
1096;52742;3
1106;1193;3
1106;1768;4
1106;11852;3
1106;12216;4
1106;12718;3
1106;32799;3
1106;67031;3
1106;71767;3
1106;74154;3
1106;88619;3
1106;89775;3
1106;105127;3
1106;196537;3
1106;231665;3
1106;255904;3
1110;5946;4
1110;9803;3
1110;10358;4
1110;11645;3
1110;13154;5
1110;15343;3
1110;15344;4
1110;21319;4
1110;22445;4
1110;153146;3
1110;404613;3
1112;155;3
1112;630;3
1112;12559;3
1112;24885;5
1112;35581;3
1114;1115;3
1115;630;3
1115;1116;5
1115;35860;3
1116;155;3
1116;630;4
1116;6415;5
1116;6527;3
1116;17420;4
1116;35860;6
1130;3424;3
1130;18066;3
1130;19881;3
1130;24351;3
1132;5150;5
1132;7127;3
1132;9488;3
1132;15021;3
1132;15398;3
1132;57042;4
1132;104280;3
1139;1827;6
1139;2660;3
1139;19236;3
1145;1578;3
1145;1920;3
1145;2113;3
1145;3794;3
1147;1309;3
1147;2270;10
1147;2407;3
1147;4584;3
1147;67702;3
1149;3043;4
1149;20959;4
1149;101597;3
1159;1377;3
1159;2113;5
1159;3794;3
1159;3909;3
1159;4491;3
1161;924;3
1161;1829;3
1161;1920;3
1161;3794;4
1162;2322;5
1167;4549;5
1167;4979;3
1167;7127;3
1167;13152;12
1167;30471;13
1167;52742;4
1167;132136;3
1175;84939;3
1177;1146;3
1184;5642;4
1184;17690;4
1184;20204;4
1185;191;3
1185;1531;4
1185;2213;3
1185;6459;3
1185;25323;3
1187;11391;3
1187;12731;3
1187;14537;3
1191;1387;3
1191;3088;3
1191;4391;3
1191;9109;3
1191;13170;3
1191;18851;3
1191;20902;4
1191;23032;3
1191;24028;3
1191;25348;3
1191;29666;3
1191;66960;3
1191;69741;3
1191;95526;3
1191;99507;3
1192;1193;13
1192;1196;8
1192;3425;4
1192;11732;8
1192;12302;5
1192;13593;4
1192;15243;5
1192;16641;4
1192;18069;7
1192;18614;4
1192;19157;4
1192;20136;4
1192;22407;5
1192;28561;4
1192;33200;4
1193;1196;5
1193;3226;4
1193;15238;4
1193;15243;8
1193;15244;6
1193;18610;5
1193;18614;6
1193;32799;4
1193;38229;5
1193;59046;3
1193;71767;3
1193;105074;4
1193;231665;5
1194;15188;3
1194;105190;3
1195;544;4
1195;1768;6
1195;5387;8
1195;5944;5
1195;14454;5
1195;17043;3
1195;18066;3
1195;20138;3
1195;25698;3
1195;56068;5
1195;64652;4
1195;144287;4
1195;162038;4
1196;3936;3
1196;6315;3
1196;11732;3
1196;12302;4
1196;18069;3
1196;19157;3
1196;22407;3
1196;29402;3
1196;38957;3
1196;44634;3
1196;46687;3
1196;51369;3
1196;70779;3
1201;2964;3
1201;17136;4
1205;1678;3
1205;1680;6
1205;5969;3
1208;1995;3
1250;2014;4
1250;21412;3
1257;35;3
1257;2188;3
1257;40239;4
1260;1400;3
1260;1791;5
1260;2117;5
1260;3073;6
1260;3698;3
1260;5149;3
1260;10741;3
1260;10742;3
1260;39158;5
1260;48831;3
1264;1146;3
1266;2035;4
1266;4869;3
1283;16522;3
1285;16895;3
1285;27382;3
1285;119920;3
1285;146483;3
1285;179331;3
