"Id";"country";"actor_name";"edad";"year_nacimiento";"pelis";"series";"genero_def";"edad_inicio_carrera";"genero_cine_main";"porc_genero_cine_main";"type_race";"prob_race";"age_by_picture";"year_nacimiento_from_1875";"author_graph";"profesion_main";"total_trabajos";"porc_profesion_main"
"53429";;"Jim Carrey";59;1962;44;4;"M";27;"Comedia";63;"white";35;38;87;"";;;
"139915";"United States of America";"Jim Parrack";40;1981;13;14;"M";26;"Drama";56;"white";99;27;106;"";;;
"27374";"France";"Jo Prestia";60;1960;26;0;"M";40;"Suspense";34;"white";34;33;85;"";;;
"79590";"United States of America";"Josh Peck";34;1986;25;6;"M";11;"Comedia";36;"middle eastern";38;29;111;"";;;
"71654";"Japan";"Yui Natsukawa";52;1968;14;0;"F";33;"Drama";50;"asian";100;32;93;"";;;
"5496";;"Kim Cattrall";64;1956;27;10;"F";23;"Comedia";52;"white";100;28;81;"";;;
"973";"New Zealand";"Sam Neill";73;1947;76;11;"M";31;"Drama";50;"white";43;40;72;"";;;
"10802";"Canada";"Sarah Polley";42;1979;33;2;"F";12;"Drama";53;"white";89;30;104;"";;;
"12343";"United States of America";"Mitch Pileggi";69;1952;13;30;"M";33;"Terror";36;"white";100;30;77;"";;;
"1668";"France";"Dominique Pinon";66;1955;53;4;"M";28;"Comedia";42;"white";60;39;80;"";;;
"403";"France";"Bulle Ogier";81;1939;28;1;"F";34;"Drama";39;"white";100;29;64;"";;;
"128681";"Spain";"Nathalie Poza";49;1972;16;11;"F";29;"Drama";50;"white";100;37;97;"";;;
"6298";"United States of America";"Robert Patrick";62;1958;55;20;"M";33;"Drama";30;"white";63;32;83;"";;;
"546";"United Kingdom";"Michael Palin";77;1943;18;2;"M";28;"Comedia";58;"white";71;34;68;"";;;
"495";;"Roman Polanski";87;1933;36;0;"M";30;"Drama";47;"white";100;23;58;"";;;
"292";"Austria";"Otto Preminger";;1905;26;0;"M";;"Drama";53;"latino hispanic";38;47;30;"";;;
"521";"United States of America";"Ryan O'Neal";79;1941;29;4;"M";26;"Comedia";48;"white";99;43;66;"";;;
"46752";"United States of America";"James Pickens Jr.";66;1954;9;16;"M";38;"Drama";42;"black";100;50;79;"";;;
"37644";"United States of America";"Edward James Olmos";74;1947;24;12;"M";32;"Drama";43;"asian";38;45;72;"";;;
"13176";"United States of America";"Kevin Pollak";63;1957;54;15;"M";29;"Comedia";52;"middle eastern";54;33;82;"";;;
"107899";"Canada";"Reagan Pasternak";44;1977;9;6;"M";28;"Romantico";36;"white";96;25;102;"";;;
"108121";"Canada";"Aleks Paunovic";51;1969;19;20;"M";34;"Accion";32;"latino hispanic";31;25;94;"";;;
"29910";"France";"Herve Pierre";65;1955;24;1;"M";26;"Drama";32;"white";49;41;80;"";;;
"64432";"Spain";"Maria Esteve";;;12;2;"F";;"Comedia";64;"white";100;33;;"";;;
"117";"United States of America";"Sydney Pollack";;1934;51;8;"M";;"Drama";45;"latino hispanic";29;44;59;"";;;
"115060";"United States of America";"Dan Payne";;;17;14;"M";;"Accion";32;"white";44;26;;"";;;
"104917";"United States of America";"Robert Clohessy";62;1958;10;20;"M";31;"Drama";41;"white";100;35;83;"";;;
"544";"United Kingdom";"Jonathan Pryce";73;1947;53;4;"M";30;"Drama";43;"white";100;35;72;"";;;
"5290";"Spain";"Marisa Paredes";75;1946;55;1;"F";16;"Drama";41;"white";95;28;71;"";;;
